0008  NV1 [STG2000X-B Series]
07c0  MCP73 Host Bridge
07c1  MCP73 Host Bridge
07c2  MCP73 Host Bridge
07c3  MCP73 Host Bridge
07c5  MCP73 Host Bridge
07c8  MCP73 Memory Controller
07cb  nForce 610i/630i memory controller
07cd  nForce 610i/630i memory controller
07ce  nForce 610i/630i memory controller
07cf  nForce 610i/630i memory controller
07d0  nForce 610i/630i memory controller
07d1  nForce 610i/630i memory controller
07d2  nForce 610i/630i memory controller
07d3  nForce 610i/630i memory controller
07d6  nForce 610i/630i memory controller
07d7  MCP73 LPC Bridge
07d8  MCP73 SMBus
07d9  MCP73 Memory Controller
07da  MCP73 Co-processor
07dc  MCP73 Ethernet
07dd  MCP73 Ethernet
07de  MCP73 Ethernet
07df  MCP73 Ethernet
07e0  C73 [GeForce 7150 / nForce 630i]
07e1  C73 [GeForce 7100 / nForce 630i]
07e2  C73 [GeForce 7050 / nForce 630i]
07e3  C73 [GeForce 7050 / nForce 610i]
07e5  C73 [GeForce 7100 / nForce 620i]
07f0  MCP73 SATA Controller (IDE mode)
07f4  GeForce 7100/nForce 630i SATA
07f8  MCP73 SATA RAID Controller
07fc  MCP73 High Definition Audio
07fe  MCP73 OHCI USB 1.1 Controller
0840  C77 [GeForce 8200M]
0844  C77 [GeForce 9100M G]
0845  C77 [GeForce 8200M G]
0846  C77 [GeForce 9200]
0847  C78 [GeForce 9100]
0848  C77 [GeForce 8300]
0849  C77 [GeForce 8200]
084a  C77 [nForce 730a]
084b  C77 [GeForce 8200]
084c  C77 [nForce 780a/980a SLI]
084d  C77 [nForce 750a SLI]
084f  C77 [GeForce 8100 / nForce 720a]
0860  C79 [GeForce 9300]
0861  C79 [GeForce 9400]
0862  C79 [GeForce 9400M G]
0863  C79 [GeForce 9400M]
0864  C79 [GeForce 9300]
0865  C79 [GeForce 9300 / ION]
0866  C79 [GeForce 9400M G]
0867  C79 [GeForce 9400]
0868  C79 [nForce 760i SLI]
0869  MCP7A [GeForce 9400]
086a  C79 [GeForce 9400]
086c  C79 [GeForce 9300 / nForce 730i]
086d  C79 [GeForce 9200]
086e  C79 [GeForce 9100M G]
086f  MCP79 [GeForce 8200M G]
0870  C79 [GeForce 9400M]
0871  C79 [GeForce 9200]
0872  C79 [GeForce G102M]
0873  C79 [GeForce G102M]
0874  C79 [ION]
0876  C79 [GeForce 9400M / ION]
087a  C79 [GeForce 9400]
087d  C79 [ION]
087e  C79 [ION LE]
087f  C79 [ION LE]
08a0  MCP89 [GeForce 320M]
08a2  MCP89 [GeForce 320M]
08a3  MCP89 [GeForce 320M]
08a4  MCP89 [GeForce 320M]
08a5  MCP89 [GeForce 320M]
0a20  GT216 [GeForce GT 220]
0a21  GT216M [GeForce GT 330M]
0a22  GT216 [GeForce 315]
0a23  GT216 [GeForce 210]
0a24  GT216 [GeForce 405]
0a26  GT216 [GeForce 405]
0a27  GT216 [GeForce 405]
0a28  GT216M [GeForce GT 230M]
0a29  GT216M [GeForce GT 330M]
0a2a  GT216M [GeForce GT 230M]
0a2b  GT216M [GeForce GT 330M]
0a2c  GT216M [NVS 5100M]
0a2d  GT216M [GeForce GT 320M]
0a30  GT216 [GeForce 505]
0a32  GT216 [GeForce GT 415]
0a34  GT216M [GeForce GT 240M]
0a35  GT216M [GeForce GT 325M]
0a38  GT216GL [Quadro 400]
0a3c  GT216GLM [Quadro FX 880M]
0a60  GT218 [GeForce G210]
0a62  GT218 [GeForce 205]
0a63  GT218 [GeForce 310]
0a64  GT218 [ION]
0a65  GT218 [GeForce 210]
0a66  GT218 [GeForce 310]
0a67  GT218 [GeForce 315]
0a68  GT218M [GeForce G 105M]
0a69  GT218M [GeForce G 105M]
0a6a  GT218M [NVS 2100M]
0a6c  GT218M [NVS 3100M]
0a6e  GT218M [GeForce 305M]
0a6f  GT218M [ION]
0a70  GT218M [GeForce 310M]
0a71  GT218M [GeForce 305M]
0a72  GT218M [GeForce 310M]
0a73  GT218M [GeForce 305M]
0a74  GT218M [GeForce G210M]
0a75  GT218M [GeForce 310M]
0a76  GT218M [ION 2]
0a78  GT218GL [Quadro FX 380 LP]
0a7a  GT218M [GeForce 315M]
0a7b  GT218 [GeForce 505]
0a7c  GT218GLM [Quadro FX 380M]
0a80  MCP79 Host Bridge
0a81  MCP79 Host Bridge
0a82  MCP79 Host Bridge
0a83  MCP79 Host Bridge
0a84  MCP79 Host Bridge
0a85  MCP79 Host Bridge
0a86  MCP79 Host Bridge
0a87  MCP79 Host Bridge
0a88  MCP79 Memory Controller
0a89  MCP79 Memory Controller
0a98  MCP79 Memory Controller
0aa0  MCP79 PCI Express Bridge
0aa2  MCP79 SMBus
0aa3  MCP79 Co-processor
0aa4  MCP79 Memory Controller
0aa5  MCP79 OHCI USB 1.1 Controller
0aa6  MCP79 EHCI USB 2.0 Controller
0aa7  MCP79 OHCI USB 1.1 Controller
0aa8  MCP79 OHCI USB 1.1 Controller
0aa9  MCP79 EHCI USB 2.0 Controller
0aaa  MCP79 EHCI USB 2.0 Controller
0aab  MCP79 PCI Bridge
0aac  MCP79 LPC Bridge
0aad  MCP79 LPC Bridge
0aae  MCP79 LPC Bridge
0aaf  MCP79 LPC Bridge
0ab0  MCP79 Ethernet
0ab1  MCP79 Ethernet
0ab2  MCP79 Ethernet
0ab3  MCP79 Ethernet
0ab4  MCP79 SATA Controller
0ab5  MCP79 SATA Controller
0ab6  MCP79 SATA Controller
0ab7  MCP79 SATA Controller
0ab8  MCP79 AHCI Controller
0ab9  MCP79 AHCI Controller
0aba  MCP79 AHCI Controller
0abb  MCP79 AHCI Controller
0abc  MCP79 RAID Controller
0abd  MCP79 RAID Controller
0abe  MCP79 RAID Controller
0abf  MCP79 RAID Controller
0ac0  MCP79 High Definition Audio
0ac1  MCP79 High Definition Audio
0ac2  MCP79 High Definition Audio
0ac3  MCP79 High Definition Audio
0ac4  MCP79 PCI Express Bridge
0ac5  MCP79 PCI Express Bridge
0ac6  MCP79 PCI Express Bridge
0ac7  MCP79 PCI Express Bridge
0ac8  MCP79 PCI Express Bridge
0ad0  MCP78S [GeForce 8200] SATA Controller (non-AHCI mode)
0ad4  MCP78S [GeForce 8200] AHCI Controller
0ad8  MCP78S [GeForce 8200] SATA Controller (RAID mode)
0be2  GT216 HDMI Audio Controller
0be3  High Definition Audio Controller
0be4  High Definition Audio Controller
0be5  GF100 High Definition Audio Controller
0be9  GF106 High Definition Audio Controller
0bea  GF108 High Definition Audio Controller
0beb  GF104 High Definition Audio Controller
0bee  GF116 High Definition Audio Controller
0bf0  Tegra2 PCIe x4 Bridge
0bf1  Tegra2 PCIe x2 Bridge
0ca0  GT215 [GeForce GT 330]
0ca2  GT215 [GeForce GT 320]
0ca3  GT215 [GeForce GT 240]
0ca4  GT215 [GeForce GT 340]
0ca5  GT215 [GeForce GT 220]
0ca7  GT215 [GeForce GT 330]
0ca8  GT215M [GeForce GTS 260M]
0ca9  GT215M [GeForce GTS 250M]
0cac  GT215 [GeForce GT 220/315]
0caf  GT215M [GeForce GT 335M]
0cb0  GT215M [GeForce GTS 350M]
0cb1  GT215M [GeForce GTS 360M]
0cbc  GT215GLM [Quadro FX 1800M]
0d60  MCP89 HOST Bridge
0d68  MCP89 Memory Controller
0d69  MCP89 Memory Controller
0d76  MCP89 PCI Express Bridge
0d79  MCP89 SMBus
0d7a  MCP89 Co-Processor
0d7b  MCP89 Memory Controller
0d7d  MCP89 Ethernet
0d80  MCP89 LPC Bridge
0d85  MCP89 SATA Controller
0d88  MCP89 SATA Controller (AHCI mode)
0d89  MCP89 SATA Controller (AHCI mode)
0d8d  MCP89 SATA Controller (RAID mode)
0d94  MCP89 High Definition Audio
0d9c  MCP89 OHCI USB 1.1 Controller
0d9d  MCP89 EHCI USB 2.0 Controller
0dc0  GF106 [GeForce GT 440]
0dc4  GF106 [GeForce GTS 450]
0dc5  GF106 [GeForce GTS 450 OEM]
0dc6  GF106 [GeForce GTS 450 OEM]
0dcd  GF106M [GeForce GT 555M]
0dce  GF106M [GeForce GT 555M]
0dd1  GF106M [GeForce GTX 460M]
0dd2  GF106M [GeForce GT 445M]
0dd3  GF106M [GeForce GT 435M]
0dd6  GF106M [GeForce GT 550M]
0dd8  GF106GL [Quadro 2000]
0dda  GF106GLM [Quadro 2000M]
0de0  GF108 [GeForce GT 440]
0de1  GF108 [GeForce GT 430]
0de2  GF108 [GeForce GT 420]
0de3  GF108M [GeForce GT 635M]
0de4  GF108 [GeForce GT 520]
0de5  GF108 [GeForce GT 530]
0de7  GF108 [GeForce GT 610]
0de8  GF108M [GeForce GT 620M]
0de9  GF108M [GeForce GT 620M/630M/635M/640M LE]
0dea  GF108M [GeForce 610M]
0deb  GF108M [GeForce GT 555M]
0dec  GF108M [GeForce GT 525M]
0ded  GF108M [GeForce GT 520M]
0dee  GF108M [GeForce GT 415M]
0def  GF108M [NVS 5400M]
0df0  GF108M [GeForce GT 425M]
0df1  GF108M [GeForce GT 420M]
0df2  GF108M [GeForce GT 435M]
0df3  GF108M [GeForce GT 420M]
0df4  GF108M [GeForce GT 540M]
0df5  GF108M [GeForce GT 525M]
0df6  GF108M [GeForce GT 550M]
0df7  GF108M [GeForce GT 520M]
0df8  GF108GL [Quadro 600]
0df9  GF108GLM [Quadro 500M]
0dfa  GF108GLM [Quadro 1000M]
0dfc  GF108GLM [NVS 5200M]
0e08  GF119 HDMI Audio Controller
0e09  GF110 High Definition Audio Controller
0e0a  GK104 HDMI Audio Controller
0e0b  GK106 HDMI Audio Controller
0e0c  GF114 HDMI Audio Controller
0e0f  GK208 HDMI/DP Audio Controller
0e12  TegraK1 PCIe x4 Bridge
0e13  TegraK1 PCIe x1 Bridge
0e1a  GK110 High Definition Audio Controller
0e1b  GK107 HDMI Audio Controller
0e1c  Tegra3+ PCIe x4 Bridge
0e1d  Tegra3+ PCIe x2 Bridge
0e22  GF104 [GeForce GTX 460]
0e23  GF104 [GeForce GTX 460 SE]
0e24  GF104 [GeForce GTX 460 OEM]
0e30  GF104M [GeForce GTX 470M]
0e31  GF104M [GeForce GTX 485M]
0e3a  GF104GLM [Quadro 3000M]
0e3b  GF104GLM [Quadro 4000M]
0f00  GF108 [GeForce GT 630]
0f01  GF108 [GeForce GT 620]
0f02  GF108 [GeForce GT 730]
0f03  GF108 [GeForce GT 610]
0f06  GF108 [GeForce GT 730]
0fa0  GK11x [GK11x_FPGA]
0fa5  GK11x
0fa7  GK11x [Tegra on x86 (PEATRANS)]
0fae  Tegra X1 PCIe x4 Root Complex
0faf  Tegra X1 PCIe x1 Root Complex
0fb0  GM200 High Definition Audio
0fb8  GP108 High Definition Audio Controller
0fb9  GP107GL High Definition Audio Controller
0fba  GM206 High Definition Audio Controller
0fbb  GM204 High Definition Audio Controller
0fbc  GM107 High Definition Audio Controller [GeForce 940MX]
0fc0  GK107 [GeForce GT 640 OEM]
0fc1  GK107 [GeForce GT 640]
0fc2  GK107 [GeForce GT 630 OEM]
0fc4  GK107 [D14P1-15]
0fc5  GK107 [GeForce GT 1030]
0fc6  GK107 [GeForce GTX 650]
0fc8  GK107 [GeForce GT 740]
0fc9  GK107 [GeForce GT 730]
0fcb  GK107 [EXK107]
0fcc  GK107 [GeForce GT 720]
0fcd  GK107M [GeForce GT 755M]
0fce  GK107M [GeForce GT 640M LE]
0fcf  GK107 [GEN3 ESI]
0fd0  GK107 [NB1G]
0fd1  GK107M [GeForce GT 650M]
0fd2  GK107M [GeForce GT 640M]
0fd3  GK107M [GeForce GT 640M LE]
0fd4  GK107M [GeForce GTX 660M]
0fd5  GK107M [GeForce GT 650M Mac Edition]
0fd6  GK107M [N13P-GS-W]
0fd7  GK107 [GK107-GTX]
0fd8  GK107M [GeForce GT 640M Mac Edition]
0fd9  GK107M [GeForce GT 645M]
0fda  GK107 [GK107-ES-A1]
0fdb  GK107 [GK107-ESP-A1]
0fdc  GK107 [GK107-INT22-A1]
0fdd  GK107 [GK107-INT11-A1]
0fde  GK107 [GK107-ES-KA-E1]
0fdf  GK107M [GeForce GT 740M]
0fe0  GK107M [GeForce GTX 660M Mac Edition]
0fe1  GK107M [GeForce GT 730M]
0fe2  GK107M [GeForce GT 745M]
0fe3  GK107M [GeForce GT 745M]
0fe4  GK107M [GeForce GT 750M]
0fe5  GK107 [GeForce K340 USM]
0fe6  GK107 [GRID K1 NVS USM]
0fe7  GK107GL [GRID K100 vGPU]
0fe8  GK107M [N14P-GS]
0fe9  GK107M [GeForce GT 750M Mac Edition]
0fea  GK107M [GeForce GT 755M Mac Edition]
0fec  GK107M [GeForce 710A]
0fed  GK107M [GeForce 820M]
0fee  GK107M [GeForce 810M]
0fef  GK107GL [GRID K340]
0ff0  GK107 [NB1Q]
0ff1  GK107 [NVS 1000]
0ff2  GK107GL [GRID K1]
0ff3  GK107GL [Quadro K420]
0ff5  GK107GL [GRID K1 Tesla USM]
0ff6  GK107GLM [Quadro K1100M]
0ff7  GK107GL [GRID K140Q vGPU]
0ff8  GK107GLM [Quadro K500M]
0ff9  GK107GL [Quadro K2000D]
0ffa  GK107GL [Quadro K600]
0ffb  GK107GLM [Quadro K2000M]
0ffc  GK107GLM [Quadro K1000M]
0ffd  GK107 [NVS 510]
0ffe  GK107GL [Quadro K2000]
0fff  GK107GL [Quadro 410]
1001  GK110B [GeForce GTX TITAN Z]
1003  GK110 [GeForce GTX Titan LE]
1004  GK110 [GeForce GTX 780]
1005  GK110 [GeForce GTX TITAN]
1007  GK110 [GeForce GTX 780 Rev. 2]
1008  GK110 [GeForce GTX 780 Ti 6GB]
100a  GK110B [GeForce GTX 780 Ti]
100c  GK110B [GeForce GTX TITAN Black]
101e  GK110GL [Tesla K20X]
101f  GK110GL [Tesla K20]
1020  GK110GL [Tesla K20X]
1021  GK110GL [Tesla K20Xm]
1022  GK110GL [Tesla K20c]
1023  GK110BGL [Tesla K40m]
1024  GK180GL [Tesla K40c]
1026  GK110GL [Tesla K20s]
1027  GK110BGL [Tesla K40st]
1028  GK110GL [Tesla K20m]
1029  GK110BGL [Tesla K40s]
102a  GK110BGL [Tesla K40t]
102d  GK210GL [Tesla K80]
102e  GK110BGL [Tesla K40d]
102f  GK110BGL [Tesla Stella Solo]
103a  GK110GL [Quadro K6000]
103c  GK110GL [Quadro K5200]
103f  GK110BGL [Tesla Stella SXM]
1040  GF119 [GeForce GT 520]
1042  GF119 [GeForce 510]
1045  GF119
1048  GF119 [GeForce 605]
1049  GF119 [GeForce GT 620 OEM]
104a  GF119 [GeForce GT 610]
104b  GF119 [GeForce GT 625 OEM]
104c  GF119 [GeForce GT 705]
104d  GF119 [GeForce GT 710]
1050  GF119M [GeForce GT 520M]
1051  GF119M [GeForce GT 520MX]
1052  GF119M [GeForce GT 520M]
1054  GF119M [GeForce 410M]
1055  GF119M [GeForce 410M]
1056  GF119M [NVS 4200M]
1057  GF119M [Quadro NVS 4200M]
1058  GF119M [GeForce 610M]
1059  GF119M [GeForce 610M]
105a  GF119M [GeForce 610M]
105b  GF119M [GeForce 705M]
107c  GF119 [NVS 315]
107d  GF119 [NVS 310]
1080  GF110 [GeForce GTX 580]
1081  GF110 [GeForce GTX 570]
1082  GF110 [GeForce GTX 560 Ti OEM]
1084  GF110 [GeForce GTX 560 OEM]
1086  GF110 [GeForce GTX 570 Rev. 2]
1087  GF110 [GeForce GTX 560 Ti 448 Cores]
1088  GF110 [GeForce GTX 590]
1089  GF110 [GeForce GTX 580 Rev. 2]
108b  GF110 [GeForce GTX 580]
108e  GF110GL [Tesla C2090]
1091  GF110GL [Tesla M2090]
1094  GF110GL [Tesla M2075]
1096  GF110GL [Tesla C2050 / C2075]
109a  GF100GLM [Quadro 5010M]
109b  GF100GL [Quadro 7000]
10c0  GT218 [GeForce 9300 GS Rev. 2]
10c3  GT218 [GeForce 8400 GS Rev. 3]
10c5  GT218 [GeForce 405]
10d8  GT218 [NVS 300]
10e5  Parker PCIe x4 Root Complex
10e6  Parker PCIe x1 Root Complex
10ef  GP102 HDMI Audio Controller
10f0  GP104 High Definition Audio Controller
10f1  GP106 High Definition Audio Controller
10f7  TU102 High Definition Audio Controller
10f8  TU104 HD Audio Controller
10f9  TU106 High Definition Audio Controller
1140  GF117M [GeForce 610M/710M/810M/820M / GT 620M/625M/630M/720M]
1180  GK104 [GeForce GTX 680]
1182  GK104 [GeForce GTX 760 Ti]
1183  GK104 [GeForce GTX 660 Ti]
1184  GK104 [GeForce GTX 770]
1185  GK104 [GeForce GTX 660 OEM]
1186  GK104 [GeForce GTX 660 Ti]
1187  GK104 [GeForce GTX 760]
1188  GK104 [GeForce GTX 690]
1189  GK104 [GeForce GTX 670]
118a  GK104GL [GRID K520]
118b  GK104GL [GRID K2 GeForce USM]
118c  GK104 [GRID K2 NVS USM]
118d  GK104GL [GRID K200 vGPU]
118e  GK104 [GeForce GTX 760 OEM]
118f  GK104GL [Tesla K10]
1191  GK104 [GeForce GTX 760 Rev. 2]
1193  GK104 [GeForce GTX 760 Ti OEM]
1194  GK104GL [Tesla K8]
1195  GK104 [GeForce GTX 660 Rev. 2]
1198  GK104M [GeForce GTX 880M]
1199  GK104M [GeForce GTX 870M]
119a  GK104M [GeForce GTX 860M]
119d  GK104M [GeForce GTX 775M Mac Edition]
119e  GK104M [GeForce GTX 780M Mac Edition]
119f  GK104M [GeForce GTX 780M]
11a0  GK104M [GeForce GTX 680M]
11a1  GK104M [GeForce GTX 670MX]
11a2  GK104M [GeForce GTX 675MX Mac Edition]
11a3  GK104M [GeForce GTX 680MX]
11a4  GK104 [GK104-ESA]
11a5  GK104 [GK104-ESA]
11a7  GK104M [GeForce GTX 675MX]
11a8  GK104GLM [Quadro K5100M]
11a9  GK104M [GeForce GTX 870M]
11aa  GK104 [GK104-INT]
11ac  GK104 [GK104-CS]
11af  GK104GLM [GRID IceCube]
11b0  GK104GL [GRID K240Q / K260Q vGPU]
11b1  GK104GL [GRID K2 Tesla USM]
11b4  GK104GL [Quadro K4200]
11b6  GK104GLM [Quadro K3100M]
11b7  GK104GLM [Quadro K4100M]
11b8  GK104GLM [Quadro K5100M]
11b9  GK104GLM
11ba  GK104GL [Quadro K5000]
11bb  GK104GL [Quadro 4100]
11bc  GK104GLM [Quadro K5000M]
11bd  GK104GLM [Quadro K4000M]
11be  GK104GLM [Quadro K3000M]
11bf  GK104GL [GRID K2]
11c0  GK106 [GeForce GTX 660]
11c1  GK106 [D14P2-30]
11c2  GK106 [GeForce GTX 650 Ti Boost]
11c3  GK106 [GeForce GTX 650 Ti OEM]
11c4  GK106 [GeForce GTX 645 OEM]
11c5  GK106 [GeForce GT 740]
11c6  GK106 [GeForce GTX 650 Ti]
11c7  GK106 [GeForce GTX 750 Ti]
11c8  GK106 [GeForce GTX 650 OEM]
11cb  GK106 [GeForce GT 740]
11d0  GK106 [GK106-INT353]
11d1  GK106 [GK106-INT343]
11d2  GK106 [GK106-INT232]
11d3  GK106 [GK106-ES]
11e0  GK106M [GeForce GTX 770M]
11e1  GK106M [GeForce GTX 765M]
11e2  GK106M [GeForce GTX 765M]
11e3  GK106M [GeForce GTX 760M]
11e7  GK106M
11fa  GK106GL [Quadro K4000]
11fc  GK106GLM [Quadro K2100M]
11ff  GK106 [NB1Q]
1200  GF114 [GeForce GTX 560 Ti]
1201  GF114 [GeForce GTX 560]
1202  GF114 [GeForce GTX 560 Ti OEM]
1203  GF114 [GeForce GTX 460 SE v2]
1205  GF114 [GeForce GTX 460 v2]
1206  GF114 [GeForce GTX 555]
1207  GF114 [GeForce GT 645 OEM]
1208  GF114 [GeForce GTX 560 SE]
1210  GF114M [GeForce GTX 570M]
1211  GF114M [GeForce GTX 580M]
1212  GF114M [GeForce GTX 675M]
1213  GF114M [GeForce GTX 670M]
1241  GF116 [GeForce GT 545 OEM]
1243  GF116 [GeForce GT 545]
1244  GF116 [GeForce GTX 550 Ti]
1245  GF116 [GeForce GTS 450 Rev. 2]
1246  GF116M [GeForce GT 550M]
1247  GF116M [GeForce GT 555M/635M]
1248  GF116M [GeForce GT 555M/635M]
1249  GF116 [GeForce GTS 450 Rev. 3]
124b  GF116 [GeForce GT 640 OEM]
124d  GF116M [GeForce GT 555M/635M]
1251  GF116M [GeForce GT 560M]
1280  GK208 [GeForce GT 635]
1281  GK208 [GeForce GT 710]
1282  GK208 [GeForce GT 640 Rev. 2]
1283  GK208 [D15M2-10]
1284  GK208 [GeForce GT 630 Rev. 2]
1285  GK208 [GK208-100]
1286  GK208 [GeForce GT 720]
1287  GK208B [GeForce GT 730]
1288  GK208B [GeForce GT 720]
1289  GK208 [GeForce GT 710]
128a  GK208B
128b  GK208B [GeForce GT 710]
128c  GK208B
1290  GK208M [GeForce GT 730M]
1291  GK208M [GeForce GT 735M]
1292  GK208M [GeForce GT 740M]
1293  GK208M [GeForce GT 730M]
1294  GK208M [GeForce GT 740M]
1295  GK208M [GeForce 710M]
1296  GK208M [GeForce 825M]
1298  GK208M [GeForce GT 720M]
1299  GK208BM [GeForce 920M]
129a  GK208BM [GeForce 910M]
12a0  GK208
12ad  GK208 [GK208-ES]
12ae  GK208 [GK208-CS1-C]
12af  GK208 [GK208-INT]
12b0  GK208 [GK208-CS-Q]
12b1  GK208 [GK208 INT]
12b9  GK208GLM [Quadro K610M]
12ba  GK208GLM [Quadro K510M]
130b  GK110 [Q12U-1]
1340  GM108M [GeForce 830M]
1341  GM108M [GeForce 840M]
1344  GM108M [GeForce 845M]
1346  GM108M [GeForce 930M]
1347  GM108M [GeForce 940M]
1348  GM108M [GeForce 945M / 945A]
1349  GM108M [GeForce 930M]
134b  GM108M [GeForce 940MX]
134d  GM108M [GeForce 940MX]
134e  GM108M [GeForce 930MX]
134f  GM108M [GeForce 920MX]
137a  GM108GLM [Quadro K620M / Quadro M500M]
137b  GM108GLM [Quadro M520 Mobile]
137d  GM108M [GeForce 940A]
1380  GM107 [GeForce GTX 750 Ti]
1381  GM107 [GeForce GTX 750]
1382  GM107 [GeForce GTX 745]
1389  GM107GL [GRID M30]
1390  GM107M [GeForce 845M]
1391  GM107M [GeForce GTX 850M]
1392  GM107M [GeForce GTX 860M]
1393  GM107M [GeForce 840M]
1398  GM107M [GeForce 845M]
1399  GM107M [GeForce 945M]
139a  GM107M [GeForce GTX 950M]
139b  GM107M [GeForce GTX 960M]
139c  GM107M [GeForce 940M]
139d  GM107M [GeForce GTX 750 Ti]
13ad  GM204 [GM107 INT52]
13ae  GM204 [GM107 CS1]
13b0  GM107GLM [Quadro M2000M]
13b1  GM107GLM [Quadro M1000M]
13b2  GM107GLM [Quadro M600M]
13b3  GM107GLM [Quadro K2200M]
13b4  GM107GLM [Quadro M620 Mobile]
13b6  GM107GLM [Quadro M1200 Mobile]
13b9  GM107GL [NVS 810]
13ba  GM107GL [Quadro K2200]
13bb  GM107GL [Quadro K620]
13bc  GM107GL [Quadro K1200]
13bd  GM107GL [Tesla M10]
13be  GM204 [GM107 CS1]
13bf  GM204 [GM107 INT52]
13c0  GM204 [GeForce GTX 980]
13c1  GM204
13c2  GM204 [GeForce GTX 970]
13c3  GM204
13c4  GM204 [D17U-20]
13d7  GM204M [GeForce GTX 980M]
13d8  GM204M [GeForce GTX 960 OEM / 970M]
13d9  GM204M [GeForce GTX 965M]
13da  GM204M [GeForce GTX 980 Mobile]
13e4  GM204 [Graphics Device ES-A]
13e7  GM204GL [GeForce GTX 980 Engineering Sample]
13f0  GM204GL [Quadro M5000]
13f1  GM204GL [Quadro M4000]
13f2  GM204GL [Tesla M60]
13f3  GM204GL [Tesla M6]
13f8  GM204GLM [Quadro M5000M / M5000 SE]
13f9  GM204GLM [Quadro M4000M]
13fa  GM204GLM [Quadro M3000M]
13fb  GM204GLM [Quadro M5500]
1401  GM206 [GeForce GTX 960]
1402  GM206 [GeForce GTX 950]
1404  GM206 [GeForce GTX 960 FAKE]
1406  GM206 [GeForce GTX 960 OEM]
1407  GM206 [GeForce GTX 750 v2]
1427  GM206M [GeForce GTX 965M]
1430  GM206GL [Quadro M2000]
1431  GM206GL [Tesla M4]
1436  GM206GLM [Quadro M2200 Mobile]
15c2  GP100 [CMP 100-100]
15f0  GP100GL [Quadro GP100]
15f1  GP100GL
15f7  GP100GL [Tesla P100 PCIe 12GB]
15f8  GP100GL [Tesla P100 PCIe 16GB]
15f9  GP100GL [Tesla P100 SXM2 16GB]
15fa  GP100GL [DGX Station / PH402 SKU 200]
15fb  GP100GL [GP100 SKU 200]
15fc  GP100GL [Tesla P100-DGXS-16GB]
15ff  GP100GL [GP100 SKU 15ff]
1613  GM204GL [GRID M60 Service Provider]
1617  GM204M [GeForce GTX 980M]
1618  GM204M [GeForce GTX 970M]
1619  GM204M [GeForce GTX 965M]
161a  GM204M [GeForce GTX 980 Mobile]
1667  GM204M [GeForce GTX 965M]
1676  GM204GLM [Quadro M2200 Mobile]
1725  GP100
172e  GP100
172f  GP100
174d  GM108M [GeForce MX130]
174e  GM108M [GeForce MX110]
1789  GM107GL [GRID M3-3020]
179c  GM107 [GeForce 940MX]
17c2  GM200 [GeForce GTX TITAN X]
17c8  GM200 [GeForce GTX 980 Ti]
17f0  GM200GL [Quadro M6000]
17f1  GM200GL [Quadro M6000 24GB]
17fd  GM200GL [Tesla M40]
1ad0  Tegra PCIe x8 Endpoint
1ad1  Tegra PCIe x4/x8 Endpoint/Root Complex
1ad2  Tegra PCIe x1 Root Complex
1ad3  Xavier SATA Controller
1ad6  TU102 USB 3.1 Host Controller
1ad7  TU102 USB Type-C UCSI Controller
1ad8  TU104 USB 3.1 Host Controller
1ad9  TU104 USB Type-C UCSI Controller
1ada  TU106 USB 3.1 Host Controller
1adb  TU106 USB Type-C UCSI Controller
1aeb  TU116 High Definition Audio Controller
1aec  TU116 USB 3.1 Host Controller
1aed  TU116 USB Type-C UCSI Controller
1aef  GA102 High Definition Audio Controller
1af1  GA100 [A100 NVSwitch]
1b00  GP102 [TITAN X Pascal]
1b01  GP102 [GeForce GTX 1080 Ti 10GB]
1b02  GP102 [TITAN Xp]
1b04  GP102
1b06  GP102 [GeForce GTX 1080 Ti]
1b07  GP102 [P102-100]
1b30  GP102GL [Quadro P6000]
1b38  GP102GL [Tesla P40]
1b39  GP102GL [Tesla P10]
1b70  GP102GL
1b78  GP102GL
1b80  GP104 [GeForce GTX 1080]
1b81  GP104 [GeForce GTX 1070]
1b82  GP104 [GeForce GTX 1070 Ti]
1b83  GP104 [GeForce GTX 1060 6GB]
1b84  GP104 [GeForce GTX 1060 3GB]
1b87  GP104 [P104-100]
1ba0  GP104M [GeForce GTX 1080 Mobile]
1ba1  GP104M [GeForce GTX 1070 Mobile]
1ba2  GP104M [GeForce GTX 1070 Mobile]
1ba9  GP104M
1baa  GP104M
1bad  GP104 [GeForce GTX 1070 Engineering Sample]
1bb0  GP104GL [Quadro P5000]
1bb1  GP104GL [Quadro P4000]
1bb3  GP104GL [Tesla P4]
1bb4  GP104GL [Tesla P6]
1bb5  GP104GLM [Quadro P5200 Mobile]
1bb6  GP104GLM [Quadro P5000 Mobile]
1bb7  GP104GLM [Quadro P4000 Mobile]
1bb8  GP104GLM [Quadro P3000 Mobile]
1bb9  GP104GLM [Quadro P4200 Mobile]
1bbb  GP104GLM [Quadro P3200 Mobile]
1bc7  GP104 [P104-101]
1be0  GP104BM [GeForce GTX 1080 Mobile]
1be1  GP104BM [GeForce GTX 1070 Mobile]
1c00  GP106
1c01  GP106
1c02  GP106 [GeForce GTX 1060 3GB]
1c03  GP106 [GeForce GTX 1060 6GB]
1c04  GP106 [GeForce GTX 1060 5GB]
1c06  GP106 [GeForce GTX 1060 6GB Rev. 2]
1c07  GP106 [P106-100]
1c09  GP106 [P106-090]
1c20  GP106M [GeForce GTX 1060 Mobile]
1c21  GP106M [GeForce GTX 1050 Ti Mobile]
